,Имя покупателя,Дата выдачи,сумма займа,процент годовых,название банка
0,Жукова Екатерина,2019-10-25,2200,8.0,РосТоргПром банк
1,Зотов Артемий,2022-12-20,44000,0.5,Стальстрой банк
2,Пирогова София,2018-4-20,16600,1.0,ВАШ БАНК
3,Ковалев Иван,2022-8-18,19700,1.0,ВАШ БАНК
4,Юдин Михаил,2018-7-23,33000,0.5,Стальстрой банк
5,Сергеев Георгий,2021-6-9,15800,1.0,ВАШ БАНК
6,Антонова Василиса,2022-1-23,600,10.0,РосТоргПром банк
7,Белоусова Вероника,2018-7-18,42000,0.5,Стальстрой банк
8,Ковалев Михаил,2022-8-10,2700,8.0,Инвестбанк
9,Иванов Илья,2021-2-13,2200,8.0,РосТоргПром банк
10,Данилова Александра,2018-1-25,2000,9.0,Инвестбанк
11,Ларионова Стефания,2020-6-24,2800,8.0,РосТоргПром банк
12,Софронов Илья,2021-7-26,1600,9.0,Инвестбанк
13,Соколова Вероника,2021-12-1,1100,9.0,РосТоргПром банк
14,Софронов Тимофей,2020-2-15,4100,6.0,Инвестбанк
15,Кольцов Андрей,2020-6-13,34000,0.5,Стальстрой банк
16,Новиков Роберт,2022-4-9,34000,0.5,Стальстрой банк
17,Акимов Артём,2022-12-16,14000,2.0,ВАШ БАНК
18,Ковалев Михаил,2018-2-20,2000,9.0,Инвестбанк
19,Михайлов Илья,2020-4-14,18100,1.0,ВАШ БАНК
20,Кулагина Василиса,2018-7-7,2200,8.0,РосТоргПром банк
21,Соловьев Сергей,2019-9-26,3400,7.0,РосТоргПром банк
22,Савельева София,2022-5-25,1200,9.0,РосТоргПром банк
23,Иванов Тимур,2018-9-16,29000,0.5,Стальстрой банк
24,Комаров Роман,2018-2-19,3200,7.0,РосТоргПром банк
25,Гришина Светлана,2018-10-11,1200,9.0,РосТоргПром банк
26,Борисов Тимофей,2022-6-10,4600,6.0,Инвестбанк
27,Крылова Анна,2021-8-18,37000,0.5,Стальстрой банк
28,Коровин Сергей,2020-10-25,3200,7.0,Инвестбанк
29,Розанова Ника,2020-1-3,39000,0.5,Стальстрой банк
30,Тихонова Юлия,2020-8-18,46000,0.5,Стальстрой банк
31,Соколова Вероника,2022-5-17,3900,7.0,Инвестбанк
32,Сидоров Ярослав,2020-5-20,3400,7.0,РосТоргПром банк
33,Горелова Кира,2021-4-28,4800,6.0,РосТоргПром банк
34,Иванова Яна,2018-8-15,25000,0.5,Стальстрой банк
35,Голубева Алиса,2019-11-24,2700,8.0,РосТоргПром банк
36,Кузнецова Стефания,2020-2-26,47000,0.5,Стальстрой банк
37,Григорьев Антон,2020-11-8,4400,6.0,Инвестбанк
38,Любимова Полина,2022-1-23,3600,7.0,Инвестбанк
39,Андрианова Вероника,2022-3-18,11700,2.0,ВАШ БАНК
40,Киселева Варвара,2021-9-12,9200,3.0,ВАШ БАНК
41,Фролов Иван,2021-9-19,36000,0.5,Стальстрой банк
42,Соловьев Сергей,2018-8-7,47000,0.5,Стальстрой банк
43,Орлов Семён,2020-9-4,15600,1.0,ВАШ БАНК
44,Белоусова Анна,2019-12-16,34000,0.5,Стальстрой банк
45,Прохорова Мария,2022-1-8,900,10.0,РосТоргПром банк
46,Зайцев Тимофей,2021-8-9,16800,1.0,ВАШ БАНК
47,Александрова Ангелина,2021-12-17,3700,7.0,РосТоргПром банк
48,Евдокимова Амелия,2022-3-14,17300,1.0,ВАШ БАНК
49,Киселева Мария,2020-10-27,43000,0.5,Стальстрой банк
50,Синицына Татьяна,2019-3-21,12000,2.0,ВАШ БАНК
51,Морозова Полина,2018-2-1,31000,0.5,Стальстрой банк
52,Львова Кристина,2019-6-25,30000,0.5,Стальстрой банк
53,Куликова Виктория,2020-3-8,500,10.0,Инвестбанк
54,Петрова Александра,2022-4-24,30000,0.5,Стальстрой банк
55,Зорина Василиса,2018-4-22,8600,3.0,ВАШ БАНК
56,Фокина Кристина,2018-12-23,3700,7.0,Инвестбанк
57,Уткин Марк,2020-2-1,9900,3.0,ВАШ БАНК
58,Соколов Семён,2022-1-22,3100,7.0,РосТоргПром банк
59,Дмитриева Мария,2018-4-7,2700,8.0,Инвестбанк
60,Жданова Кира,2019-6-18,18600,1.0,ВАШ БАНК
61,Родионов Лев,2021-11-24,4000,7.0,Инвестбанк
62,Михеева Екатерина,2020-10-7,13100,2.0,ВАШ БАНК
63,Алексеев Роман,2020-1-9,2700,8.0,Инвестбанк
64,Краснов Михаил,2022-2-28,45000,0.5,Стальстрой банк
65,Козлова Виктория,2019-7-2,37000,0.5,Стальстрой банк
66,Логинов Дмитрий,2021-3-23,4100,6.0,РосТоргПром банк
67,Григорьев Ярослав,2021-1-26,8400,3.0,ВАШ БАНК
68,Ананьев Лев,2022-12-2,19500,1.0,ВАШ БАНК
69,Маркелова Софья,2022-12-1,4800,6.0,РосТоргПром банк
70,Поляков Владимир,2018-10-18,13100,2.0,ВАШ БАНК
71,Васильева Полина,2022-12-5,2400,8.0,Инвестбанк
72,Фокин Андрей,2021-8-14,10300,2.0,ВАШ БАНК
73,Фомичев Николай,2018-1-27,33000,0.5,Стальстрой банк
74,Морозов Арсений,2019-9-13,3600,7.0,РосТоргПром банк
75,Петрова Александра,2018-9-3,13300,2.0,ВАШ БАНК
76,Гришина Светлана,2018-3-25,46000,0.5,Стальстрой банк
77,Софронов Тимофей,2018-7-16,9300,3.0,ВАШ БАНК
78,Медведев Мирон,2018-6-1,9500,3.0,ВАШ БАНК
79,Анисимов Матвей,2020-12-15,4400,6.0,РосТоргПром банк
80,Князев Ярослав,2022-7-16,800,10.0,РосТоргПром банк
81,Грачева Ксения,2018-8-6,49000,0.5,Стальстрой банк
82,Грачева Ксения,2021-6-7,16700,1.0,ВАШ БАНК
83,Михеева Екатерина,2019-3-1,3600,7.0,РосТоргПром банк
84,Коновалова Ирина,2022-1-10,9700,3.0,ВАШ БАНК
85,Васильева Мария,2018-4-21,2700,8.0,РосТоргПром банк
86,Григорьев Антон,2019-6-9,2600,8.0,РосТоргПром банк
87,Елисеев Артём,2018-4-12,16800,1.0,ВАШ БАНК
88,Смирнов Герман,2019-6-24,2900,8.0,Инвестбанк
89,Кулагина Василиса,2021-7-25,48000,0.5,Стальстрой банк
90,Соловьева София,2021-8-8,1400,9.0,РосТоргПром банк
91,Хомяков Олег,2019-8-2,3500,7.0,Инвестбанк
92,Тарасов Тимофей,2020-6-2,4100,6.0,Инвестбанк
93,Русанова Майя,2018-11-13,900,10.0,Инвестбанк
94,Тихонова Юлия,2018-6-16,900,10.0,РосТоргПром банк
95,Ситников Матвей,2022-3-2,17800,1.0,ВАШ БАНК
96,Козловский Фёдор,2020-4-22,14900,2.0,ВАШ БАНК
97,Борисов Тимофей,2020-9-23,14500,2.0,ВАШ БАНК
98,Богданов Давид,2022-7-22,12000,2.0,ВАШ БАНК
99,Белоусова Вероника,2021-5-9,4700,6.0,Инвестбанк
100,Краснов Антон,2021-7-8,38000,0.5,Стальстрой банк
101,Рыжов Алексей,2022-11-11,34000,0.5,Стальстрой банк
102,Козлова Виктория,2021-6-18,28000,0.5,Стальстрой банк
103,Иванова Дарья,2022-7-16,19900,1.0,ВАШ БАНК
104,Майоров Никита,2020-8-5,3200,7.0,Инвестбанк
105,Поляков Павел,2022-2-3,37000,0.5,Стальстрой банк
106,Комарова Аиша,2022-1-11,3600,7.0,РосТоргПром банк
107,Рыжов Алексей,2018-4-18,1800,9.0,Инвестбанк
108,Иванова Анастасия,2019-1-6,1100,9.0,РосТоргПром банк
109,Матвеева София,2019-11-9,12500,2.0,ВАШ БАНК
110,Львова Кристина,2022-5-7,34000,0.5,Стальстрой банк
111,Соколова Елизавета,2018-8-2,1100,9.0,РосТоргПром банк
112,Спиридонов Георгий,2021-4-27,10500,2.0,ВАШ БАНК
113,Степанов Михаил,2020-7-20,800,10.0,РосТоргПром банк
114,Краснов Антон,2022-2-22,14500,2.0,ВАШ БАНК
115,Крылова Виктория,2020-4-20,46000,0.5,Стальстрой банк
116,Жданова Кира,2019-2-6,9300,3.0,ВАШ БАНК
117,Давыдова София,2020-9-8,27000,0.5,Стальстрой банк
118,Пирогова София,2019-9-12,3000,8.0,Инвестбанк
119,Соколова Елизавета,2021-11-22,1200,9.0,Инвестбанк
120,Артемова София,2018-4-21,4700,6.0,РосТоргПром банк
121,Агафонов Ярослав,2021-4-15,48000,0.5,Стальстрой банк
122,Зайцева Софья,2022-8-28,1300,9.0,Инвестбанк
123,Белов Артём,2022-3-23,2800,8.0,Инвестбанк
124,Александрова Арина,2021-10-22,3400,7.0,Инвестбанк
125,Смирнов Герман,2019-7-6,13800,2.0,ВАШ БАНК
126,Леонов Матвей,2018-4-20,41000,0.5,Стальстрой банк
127,Алексеева Мария,2019-10-27,17600,1.0,ВАШ БАНК
128,Егоров Иван,2018-8-25,3900,7.0,Инвестбанк
129,Степанов Михаил,2020-7-14,3300,7.0,Инвестбанк
130,Михайлов Илья,2020-7-15,1800,9.0,Инвестбанк
131,Медведев Мирон,2021-10-7,3500,7.0,Инвестбанк
132,Матвеева Ксения,2022-3-12,4600,6.0,РосТоргПром банк
133,Филатова Алиса,2021-8-8,2500,8.0,РосТоргПром банк
134,Киселева Мария,2019-10-18,1300,9.0,Инвестбанк
135,Фокин Андрей,2020-9-9,700,10.0,Инвестбанк
